date,A1635,A3654,A55,TOT,TOTADJ
1994-01-01,0.0,0.0,0.0,0.0,0.0
1994-02-01,0.0,0.0,0.0,0.0,0.0
1994-03-01,0.0,0.0,0.0,0.0,0.0
1994-04-01,0.0,0.0,0.0,0.0,0.0
1994-05-01,0.0,0.0,0.0,0.0,0.0
1994-06-01,0.0,0.0,0.0,0.0,0.0
1994-07-01,0.0,0.0,0.0,0.0,0.0
1994-08-01,0.0,0.0,0.0,0.0,0.0
1994-09-01,0.0,0.0,0.0,0.0,0.0
1994-10-01,0.0,0.0,0.0,0.0,0.0
1994-11-01,0.0,0.0,0.0,0.0,0.0
1994-12-01,0.0,0.0,0.0,0.0,0.0
1995-01-01,0.0,0.0,0.0,0.0,0.0
1995-02-01,0.0,0.0,0.0,0.0,0.0
1995-03-01,0.0,0.0,0.0,0.0,0.0
1995-04-01,0.0,0.0,0.0,0.0,0.0
1995-05-01,0.0,0.0,0.0,0.0,0.0
1995-06-01,0.0,0.0,0.0,0.0,0.0
1995-07-01,0.0,0.0,0.0,0.0,0.0
1995-08-01,0.0,0.0,0.0,0.0,0.0
1995-09-01,0.0,0.0,0.0,0.0,0.0
1995-10-01,0.0,0.0,0.0,0.0,0.0
1995-11-01,0.0,0.0,0.0,0.0,0.0
1995-12-01,0.0,0.0,0.0,0.0,0.0
1996-01-01,0.0,0.0,0.0,0.0,0.0
1996-02-01,0.0,0.0,0.0,0.0,0.0
1996-03-01,0.0,0.0,0.0,0.0,0.0
1996-04-01,0.0,0.0,0.0,0.0,0.0
1996-05-01,0.0,0.0,0.0,0.0,0.0
1996-06-01,0.0,0.0,0.0,0.0,0.0
1996-07-01,0.0,0.0,0.0,0.0,0.0
1996-08-01,0.0,0.0,0.0,0.0,0.0
1996-09-01,0.0,0.0,0.0,0.0,0.0
1996-10-01,0.0,0.0,0.0,0.0,0.0
1996-11-01,0.0,0.0,0.0,0.0,0.0
1996-12-01,0.0,0.0,0.0,0.0,0.0
1997-01-01,0.0,0.0,0.0,0.0,0.0
1997-02-01,0.0,0.0,0.0,0.0,0.0
1997-03-01,0.0,0.0,0.0,0.0,0.0
1997-04-01,0.0,0.0,0.0,0.0,0.0
1997-05-01,0.0,0.0,0.0,0.0,0.0
1997-06-01,0.0,0.0,0.0,0.0,0.0
1997-07-01,0.0,0.0,0.0,0.0,0.0
1997-08-01,0.0,0.0,0.0,0.0,0.0
1997-09-01,0.0,0.0,0.0,0.0,0.0
1997-10-01,0.0,0.0,0.0,0.0,0.0
1997-11-01,0.0,0.0,0.0,0.0,0.0
1997-12-01,0.0,0.0,0.0,0.0,0.0
1998-01-01,0.0,0.0,0.0,0.0,0.0
1998-02-01,0.0,0.0,0.0,0.0,0.0
1998-03-01,0.0,0.0,0.0,0.0,0.0
1998-04-01,0.0,0.0,0.0,0.0,0.0
1998-05-01,0.0,0.0,0.0,0.0,0.0
1998-06-01,0.0,0.0,0.0,0.0,0.0
1998-07-01,0.0,0.0,0.0,0.0,0.0
1998-08-01,0.0,0.0,0.0,0.0,0.0
1998-09-01,0.0,0.0,0.0,0.0,0.0
1998-10-01,0.0,0.0,0.0,0.0,0.0
1998-11-01,0.0,0.0,0.0,0.0,0.0
1998-12-01,0.0,0.0,0.0,0.0,0.0
1999-01-01,0.0,0.0,0.0,0.0,0.0
1999-02-01,0.0,0.0,0.0,0.0,0.0
1999-03-01,0.0,0.0,0.0,0.0,0.0
1999-04-01,0.0,0.0,0.0,0.0,0.0
1999-05-01,0.0,0.0,0.0,0.0,0.0
1999-06-01,0.0,0.0,0.0,0.0,0.0
1999-07-01,0.0,0.0,0.0,0.0,0.0
1999-08-01,0.0,0.0,0.0,0.0,0.0
1999-09-01,0.0,0.0,0.0,0.0,0.0
1999-10-01,0.0,0.0,0.0,0.0,0.0
1999-11-01,0.0,0.0,0.0,0.0,0.0
1999-12-01,0.0,0.0,0.0,0.0,0.0
2000-01-01,0.0,0.0,0.0,0.0,0.0
2000-02-01,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0
