;2016;2017;2016;2017;2016;
Value added at basic prices. Annual change in volume (per cent);Value added at basic prices. Annual change in volume (per cent);GDP-index per employed;GDP-index per employed;Income index per capita;
The whole country;1.1;1.9;;;;
The regions;;;100;100;100;
Mainland Norway;0.9;1.9;;;;
Østfold;2.1;2.5;87;87;92;
Akershus;4.9;2.5;104;102;108;
Oslo;2.7;2.8;125;125;112;
Hedmark;1.8;2.2;85;87;93;
Oppland;2.0;2.3;80;81;94;
Buskerud;-0.1;2.0;93;93;99;
Vestfold;2.7;2.1;87;88;96;
Telemark;-1.5;0.7;92;91;94;
Aust-Agder;0.6;2.5;86;86;91;
Vest-Agder;-4.1;0.9;90;90;92;
Rogaland;-1.3;-0.4;102;100;103;
Hordaland;0.6;1.2;102;103;100;
Sogn og Fjordane;2.2;1.6;93;94;96;
Møre og Romsdal;-3.7;0.7;94;93;96;
Sør-Trøndelag (-2017);1.7;2.9;99;99;99;
Nord-Trøndelag (-2017);1.9;2.9;84;85;92;
Nordland;1.1;1.9;94;95;95;
Troms - Romsa;5.3;2.1;92;92;99;
Finnmark - Finnmárku;1.4;2.0;89;90;96;
Svalbard;8.4;1.1;;;;
The Continental Shelf;-0.2;1.7;;;;
